115 Eastpoint Clinic & Surgery	115, Bedok North Road, 1- 301, Singapore 460115	64410180	Operating hours: Monday to Thursday: 9:00am to 12:30pm, 2:30pm to 4:30pm, 7:00pm to 9:00pm; Friday: 9:00pm to 12:30pm, 7:00pm to 9:00pm; Saturday & Sunday: 9:00am to 12:00pm; Public Holiday: Closed
81 Family Clinic	81, Marine Parade Central, 1- 646, Singapore 440081	61234567	Operating hours: Monday to Friday: 10:00am to 2:30pm, 8:30pm to 10:30pm; Saturday: 10:00am to 2:30pm; Sunday & Public Holiday: Closed
818 Family Clinic And Surgery	818, Woodlands Street 82, 01- 421, Singapore 730818	63636903	Operating hours: Monday to Friday: 8:30am to 12:30pm, 2:00pm to 4:00pm, 7:00pm to 9:00pm; Saturday: 8:30am to 12:30pm; Sunday: 7:00pm to 9:00pm; Public Holiday: 8:30am to 12:30pm
888 Plaza Family Clinic	888, Woodlands Drive 50, 888 Plaza, 01- 739, Singapore 730888	63688762	Operating hours: Monday to Friday: 8:30am to 10:00pm; Saturday: 8:30am to 1:00pm, 6:00pm to 9:30pm; Sunday: 9:00am to 9:00pm, Public Holidays: 9.00am to 1.00pm
326 Avenue 3 Clinic	326, Serangoon Avenue 3, 01- 382, Singapore 550326	62801567	Operating hours: Monday to Friday: 8:30am to 12:00pm, 1:00pm to 3:30pm, 6:30pm to 9:00pm; Saturday & Sunday: 8:30am to 12:00pm, 6:30pm to 9:00pm; Public Holiday: Closed
A Dental Clinic @ Clementi Central Pte Ltd	450, Clementi Avenue 3, 01- 285, Singapore 120450	67744168	Operating hours: Monday to Thursday : 9.00am to 9.00pm, Friday & Saturday : 9.00am to 5.00pm, Sunday: 9.00am to 1.00pm
A Dental Clinic @ Jurong East Central	135, Jurong Gateway Road, 01- 333, Singapore 600135	65690280	Operating hours: Monday to Thursday : 9.00am to 9.00pm, Friday & Saturday : 9.00am to 5.00pm, Sunday : 9.00am to 1.00pm
A Life Clinic Pte Ltd	10, Sinaran Drive, Novena Medical Center, 9- 21, Singapore 307506	67372283	Operating hours: Monday to Friday : 9:00am to 12:30pm, 2:00pm to 4:00pm, Saturday : 9:00am to 12:00pm, Sunday & PH closed
A St*R Dental Surgery	330, Ang Mo Kio Avenue 1, 01- 1805, Singapore 560330	64589595	Operating hours: Monday to Friday : 9.00am to 9.00pm, Saturday : 9.00am to 5.00pm, Sunday & Public Holiday : 10.00am to 5.00pm
A & A Clinic	570B, Woodlands Avenue 1, 01- 078, Singapore 732570	6339 0883	Operating hours: Monday, Wednesday & Friday : 9:00am to 1:00pm, 6:00pm to 9:00pm, Tuesday & Thursday : 9:00am to 1:00pm, Saturday : 9:00am to 1:00pm
A.M., P.M. Family Clinic & Surgery Pte Ltd	123, Toa Payoh Lorong 1, 01- 521, Singapore 310123	62530917	Operating hours: onday to Friday : 8:30am to 1:30pm, 6:00pm to 9:30pm, Saturday & Sunday : 8:30am to 12:30pm
338 Family Clinic	338, Ang Mo Kio Avenue 1, 01- 1615, Singapore 560338	64549408	Operating hours: Monday to Tuesday & Thursday : 8:30am to 12:30pm, 2:30pm to 4:30pm, 7:00pm to 9:00pm, Saturday & Sunday : 8:30am to 12:30pm, Wednesday : 8:30am to 12:30pm, 2:30pm to 4:30pm, Closed on Friday
Aaron Ctp Dental Surgery	138, Robinson Road, The Corporate Office, 07- 10, Singapore 068906	62207853	Operating hours: Monday to Friday : 8:30am to 5.00pm, Saturday, Sunday & Public Holiday : Closed
Aaron Dentalcare	110, Robinson Road, 01- 00, Singapore 068901	63232353	Operating hours: Monday to Friday : 8:30am to 5:30pm, Saturday : 8:30am to 12:30pm, Sunday & Public Holiday : Closed
Aaron Dentalcare@Holland V.	8A, Lorong Mambong, Singapore 277674	64667313	Operating hours: Monday to Friday : 9.00am to 6.00pm, Saturday : 9.00am to 1.00pm, Sunday & Public Holiday : Closed
Aaron Seow Dental Surgery	43, Holland Drive, 01- 49, Singapore 270043	67774333	Operating hours: Monday,Wednesday,Friday & Saturday : 9.00am to 6.00pm, Tuesday & Thursday : 9.00am to 7.00pm, Sunday & Public Holiday : Closed
A St*r Dental Surgery	25, Ghim Moh Link, 01- 09, Singapore 270025	62629595	Operating hours: Monday to Friday : 9.00am to 9.00pm, Saturday : 9.00am to 5.00pm, Sunday & Public Holiday : 10.00am to 5.00pm
Abdullah Shooker Jewish Welfare Home	81, Wilkie Road, Singapore 228080	63390997 	NA
Abella Agency	29, Innovation Place, Mandai Estate, #04-06, Singapore 729932	96905665 	Operating hours: 24 hours
ABLE MEDICAL	201D, TAMPINES STREET 21, 01- 1129, Singapore 524201	69093955	NA
Acacia Medical Clinic	180, DEPOT ROAD, INTERLACE, THE, 01- 07, Singapore 109684	66840274	NA
ACCESS MEDICAL (BUKIT BATOK)	164, BUKIT BATOK STREET 11, 01- 152, Singapore 650164	67478180	NA
Access Medical (Circuit Road)	88, CIRCUIT ROAD, 01- 965, Singapore 370088	65478840	NA
Access Medical (East Coast)	18, BEDOK SOUTH ROAD, 01- 69, Singapore 460018	62418812	NA
ACCESS MEDICAL (JURONG WEST)	463, JURONG WEST STREET 41, 01- 564, Singapore 640463	67478180	NA
5 FAR Clinic	1, Maritime Square, HarbourFront Centre, 05- 01, Singapore 099253	NA	Operating hours: 10 am to 8 pm
ACCESS MEDICAL (MARINE TERRACE)	58, MARINE TERRACE, 01- 61, Singapore 440058	62415208	NA
ACCESS MEDICAL (REDHILL CLOSE)	86, REDHILL CLOSE, 01- 600, Singapore 150086	67478180	NA
ACCESS MEDICAL (TOA PAYOH)	66, LORONG 4 TOA PAYOH, 01- 315, Singapore 310066	67107326	NA
ACCESS MEDICAL (WHAMPOA)	87, WHAMPOA DRIVE, 01- 869, Singapore 320087	62521070	Operating hours: Monday to Friday: 9:00am to 12:30pm, 2:00pm to 4:30pm; Saturday: 9:00am to 12:30pm; Sunday & Public Holiday: Closed
Aaxonn Pte Ltd	22, Sin Ming Lane, Midview City, #06-88,, Singapore 573969	6570 6033 	NA
